Id,IsDeleted,MasterRecordId,AccountId,Salutation,FirstName,LastName,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,EmailBouncedReason,EmailBouncedDate,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Pronouns,GenderIdentity,Level__c,Languages__c
0038Z00002s6IknQAE,0,,0018Z00002bBMdrQAG,Ms.,Rose,Gonzalez_test,,,,,,,,,"313 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-9340,,,,,rose@edge.com,"SVP, Procurement",Procurement,,Trade Show,5/30/1970 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6IkoQAE,0,,0018Z00002bBMdrQAG,Mr.,Sean,Forbes_test,,,,,,,,,"312 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-4561,,,,,sean@edge.com,CFO,Finance,,Trade Show,2/25/1949 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Secondary,English
0038Z00002s6IkpQAE,0,,0018Z00002bBMdsQAG,Mr.,Jack,Rogers_test,,,,,,#NAME?,,,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,(336) 222-7000,(336) 222-8000,,,,,,jrogers@burlington.com,"VP, Facilities",,,Web,,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,,
0038Z00002s6IkqQAE,0,,0018Z00002bBMdtQAG,Ms.,Pat,Stumuller_test,2 Place Jussieu,Paris,,75251,France,,,,2 Place Jussieu,Paris,,75251,France,,,,(014) 427-4427,(014) 427-4428,(014) 454-6364,,,(014) 427-4465,,pat@pyramid.net,"SVP, Administration and Finance",Finance,Jean Marie,,,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,"French, English"
0038Z00002s6IkrQAE,0,,0018Z00002bBMduQAG,Mr,Andy,Young_test,1301 Hoch Drive,Lawrence,KS,66045,Grey_test+M:X,,,,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,(785) 241-6200,,(785) 265-5350,,,,,a_young@dickenson.com,"SVP, Operations",Internal Operations,,Purchased List,,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6IksQAE,0,,0018Z00002bBMdvQAG,Mr.,Tim,Barr_test,,,,,,,,,"2335 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1230,,,,,barr_tim@grandhotels.com,"SVP, Administration and Finance",Finance,,External Referral,1/24/1956 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Secondary,English
0038Z00002s6IktQAE,0,,0018Z00002bBMdvQAG,Mr.,John,Bond_test,,,,,,,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1563,,,,,bond_john@grandhotels.com,"VP, Facilities",Facilities,,External Referral,4/6/1958 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6IkuQAE,0,,0018Z00002bBMdwQAG,Ms.,Stella,Pavlova_test,,,,,,,,,"1303 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5501,,(212) 842-5543,(212) 842-5589,,spavlova@uog.com,"SVP, Production",Production,Audrey Haynes,Public Relations,9/20/1945 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Tertiary,English
0038Z00002s6IkvQAE,0,,0018Z00002bBMdwQAG,Ms.,Lauren,Boyle_test,,,,,,,,,"1304 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5611,,,,,lboyle@uog.com,"SVP, Technology",Technology,,Public Relations,11/3/1962 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Secondary,English
0038Z00002s6IkwQAE,0,,0018Z00002bBMdxQAG,Ms.,Babara,Levy_test,,,,,,,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,(503) 421-5451,,,(503) 421-6782,,b.levy@expressl&t.net,"SVP, Operations",Operations,Ron Sage,Word of mouth,5/7/1939 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6IkxQAE,0,,0018Z00002bBMdxQAG,Mr.,Josh,Davis_test,,,,,,,,,"621 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,(503) 421-4387,,,,,j.davis@expressl&t.net,"Director, Warehouse Mgmt",Warehouse Mgmt,,Word of mouth,8/31/1950 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Secondary,English
0038Z00002s6IkyQAE,0,,0018Z00002bBMdyQAG,Ms.,Jane,Grey_test,,,,,,,,,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,,,,(520) 773-9050,(520) 773-9060,(520) 773-4539,,,,,jane_gray@uoa.edu,Dean of Administration,Administration,,Word of mouth,7/18/1946 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6IkzQAE,0,,0018Z00002bBMdwQAG,Mr.,Arthur,Song,,,,,,,,,"1301 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-4535,,,(212) 842-5464,,asong@uog.com,CEO,Executive Team,Pat Feinstein,Public Relations,1/16/1954 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Secondary,English
0038Z00002s6Il0QAE,0,,0018Z00002bBMdzQAG,Ms.,Ashley,James,,,,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,+44 191 3456234,,,,,ajames@uog.com,"VP, Finance",Finance,,Public Relations,9/25/1948 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6Il1QAE,0,,0018Z00002bBMe0QAG,Mr.,Tom,Ripley,,,,,,,,,"9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,(650) 345-7636,,,,,tripley@uog.com,Regional General Manager,Executive Team,,Public Relations,11/22/1952 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6Il2QAE,0,,0018Z00002bBMe0QAG,Ms.,Liz,D'Cruz,,,,,,,,,"10 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,(650) 345-6637,,,,,ldcruz@uog.com,"VP, Production",Production,,Public Relations,3/4/1964 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Secondary,English
0038Z00002s6Il3QAE,0,,0018Z00002bBMe1QAG,Ms.,Edna,Frank,,,,,,,,,"345 Shoreline Park Mountain View, CA 94043 USA",,,,,,,,(650) 867-3450,(650) 867-9895,(650) 867-7686,,,,,efrank@genepoint.com,"VP, Technology",Technology,,Partner,8/9/1944 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6Il4QAE,0,,0018Z00002bBMdwQAG,Mr.,Avi,Green,,,,,,,,,"1302 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-2383,,,(212) 842-5428,,agreen@uog.com,CFO,Finance,Chris Nobel,Public Relations,12/28/1935 0:00,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,Primary,English
0038Z00002s6Il5QAE,0,,0018Z00002bBMe2QAG,Ms.,Siddartha,Nedaerk,,,,,,,,,The Landmark @ One Market,San Francisco,CA,94087,US,,,,,,,,,,,,,,,,,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,,
0038Z00002s6Il6QAE,0,,0018Z00002bBMe2QAG,Mr.,Jake,Llorrac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058Z000007LoIpQAK,0,0,0,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,0058Z000007LoIpQAK,6/17/2022 21:38,,,,,,,,Pending,,,,,
0038Z00002wXmsVQAS,0,,0018Z00002ilpakQAA,Mr.,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058Z000007LoIpQAK,0,0,0,8/10/2022 22:43,0058Z000007LoIpQAK,8/10/2022 22:43,0058Z000007LoIpQAK,8/10/2022 22:43,,,,,,,,Pending,000000000000000AAA,,,,
0038Z00002wXmuMQAS,0,,0018Z00002ilpHsQAI,Mr.,,test2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058Z000007LoIpQAK,0,0,0,8/10/2022 22:45,0058Z000007LoIpQAK,8/10/2022 22:45,0058Z000007LoIpQAK,8/10/2022 22:45,,,,,,,,Pending,000000000000000AAA,,,,
0038Z00002wXmxgQAC,0,,0018Z00002ilpmgQAA,Mr.,,test6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partner Referral,,,0058Z000007LoIpQAK,0,0,0,8/10/2022 22:50,0058Z000007LoIpQAK,8/10/2022 22:50,0058Z000007LoIpQAK,8/10/2022 22:50,,,,,,,,Pending,000000000000000AAA,,,,
0038Z00002wXmy5QAC,0,,0018Z00002ilpnAQAQ,Mr.,,test5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058Z000007LoIpQAK,0,0,0,8/10/2022 22:50,0058Z000007LoIpQAK,8/10/2022 22:50,0058Z000007LoIpQAK,8/10/2022 22:50,,,,,,,,Pending,000000000000000AAA,,,,
0038Z00002wXmyFQAS,0,,0018Z00002ilpnoQAA,Mrs.,,test3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058Z000007LoIpQAK,0,0,0,8/10/2022 22:51,0058Z000007LoIpQAK,8/10/2022 22:51,0058Z000007LoIpQAK,8/10/2022 22:51,,,,,,,,Pending,000000000000000AAA,,,,
0038Z0000339jg4QAA,0,,000000000000000AAA,Mr.,sowmya,vookanti,,,,,,,,,,,,,,,,,45799999999,,,,,,,s@gmail.com,,,,,,,0058Z000007LoIpQAK,0,0,0,10/28/2022 2:38,0058Z000007LoIpQAK,10/28/2022 2:38,0058Z000007LoIpQAK,10/28/2022 2:38,,,,,,,,Pending,000000000000000AAA,,,,
0038Z0000339kftQAA,0,,000000000000000AAA,,VFtest,Testing,,,,,,,,,,,,,,,,,,,,,,,,testinfvf@gmail.com,,,,,,,0058Z000007LoIpQAK,0,0,0,10/28/2022 4:07,0058Z000007LoIpQAK,10/28/2022 4:07,0058Z000007LoIpQAK,10/28/2022 4:07,,,,,,,,Pending,000000000000000AAA,,,,
